"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"191","Guido Pizarro","SEV",1754,9,1,0,26,48,0,0,75,304,231,73,1247,1171,75,1,9,4,0,21,10,124,47,28,122,109,47,26,0.444444444444444,31,0.67741935483871,0
"192","Guilherme ","DEP",2643,11,0,0,46,56,18,20,80,351,275,76,1407,1238,167,2,29,2,0,26,9,212,56,24,151,124,39,37,0.0689655172413793,35,0.742857142857143,1
"193","Guillermo Maripán","ALA",1527,4,0,0,4,15,0,0,28,130,72,58,458,372,84,2,3,1,0,10,1,69,16,12,42,30,29,29,0.333333333333333,11,0.909090909090909,0
"194","Gumbau","LEG",1431,8,1,1,6,40,1,1,35,160,120,40,522,426,94,2,12,6,0,6,1,90,26,9,47,73,20,20,0.5,7,0.857142857142857,0
"195","H.Moreno","RSO",720,1,1,1,13,9,0,0,7,66,26,40,502,421,80,1,8,4,0,0,0,55,3,4,17,9,27,13,0.5,0,0,0
"196","Halilovic","LPA",1306,1,2,1,25,9,58,26,11,140,123,17,445,415,30,0,29,15,1,31,19,61,7,4,67,56,3,14,0.517241379310345,50,0.62,0
"198","Hermoso","ESP",1929,5,1,1,15,19,0,2,15,158,70,88,955,661,294,0,10,4,0,5,3,116,12,3,33,37,52,36,0.4,8,0.625,1
"202","Hugo Mallo","CEL",3004,12,0,5,27,48,113,2,84,335,222,113,1745,1470,274,1,18,8,5,19,15,168,55,29,129,93,64,49,0.444444444444444,34,0.558823529411765,1
"203","I. Martínez","ATH",2496,5,1,3,35,30,19,0,42,264,137,127,1469,1143,322,4,14,5,1,11,2,188,29,13,86,51,71,56,0.357142857142857,13,0.846153846153846,1
"204","Iago Aspas","CEL",2937,9,22,11,62,23,52,29,26,330,274,56,1234,1152,73,9,72,44,5,58,34,138,22,4,145,129,16,40,0.611111111111111,92,0.630434782608696,1
"205","Iago Herrerín","ATH",720,0,0,0,2,2,0,0,2,10,6,4,260,47,213,0,0,0,0,0,0,66,1,1,4,2,3,1,0,0,0,0
"206","Ibai","ALA",2324,1,7,8,19,17,78,79,19,233,211,22,818,701,110,7,39,24,6,38,42,144,15,4,76,135,8,14,0.615384615384615,80,0.475,1
"207","Ideye","MGA",731,2,1,8,14,12,1,0,2,123,60,63,158,152,6,0,9,3,0,5,7,18,2,0,20,40,23,40,0.333333333333333,12,0.416666666666667,0
"208","Igor Zubeldia","RSO",1578,3,1,1,15,19,2,0,39,184,122,62,940,832,106,2,12,3,2,9,1,115,29,10,63,59,38,24,0.25,10,0.9,0
"209","Illarramendi","RSO",3163,8,7,0,67,34,43,7,85,339,297,42,2516,2292,217,7,26,11,5,30,9,285,57,28,180,117,25,17,0.423076923076923,39,0.769230769230769,1
"211","Iniesta","BAR",1842,1,1,0,40,15,23,1,28,220,211,9,1520,1375,131,14,13,6,2,63,14,123,22,6,131,80,2,7,0.461538461538462,77,0.818181818181818,0
"212","Inui","EIB",2640,4,5,5,49,40,58,12,39,339,294,45,841,779,58,4,43,21,2,40,47,127,21,18,128,166,13,32,0.488372093023256,87,0.459770114942529,1
"213","Iñigo Lekue","ATH",2104,3,0,1,12,25,72,0,71,276,218,58,949,833,116,0,14,5,1,43,32,136,42,29,126,92,27,31,0.357142857142857,75,0.573333333333333,1
"214","Iraizoz","GIR",765,1,0,0,0,0,0,0,1,3,2,1,201,33,168,0,0,0,0,0,0,89,1,0,1,1,0,1,0,0,0,0
"215","Isco","RMA",1778,1,7,6,59,19,71,51,22,276,257,19,1521,1424,87,10,32,20,7,58,25,89,12,10,137,120,5,14,0.625,83,0.698795180722892,0
"216","Iturra","MGA",1583,6,0,0,21,43,8,1,70,260,215,45,587,504,82,1,2,1,0,19,7,122,45,25,110,105,22,23,0.5,26,0.730769230769231,0
"217","Iturraspe","ATH",1903,7,0,0,22,29,34,41,42,203,130,73,1190,1026,161,3,5,1,0,5,1,176,31,11,68,62,42,31,0.2,6,0.833333333333333,1
"218","Iván Alejo","EIB",1105,5,1,3,45,25,109,1,20,212,185,27,218,205,12,1,9,3,3,33,39,67,16,4,95,90,13,14,0.333333333333333,72,0.458333333333333,0
"220","Ivi","LEV",1759,3,4,4,20,40,73,34,48,301,270,31,562,473,84,5,27,10,3,33,31,95,34,14,100,170,11,20,0.37037037037037,64,0.515625,0
"221","J. Costa","VIL",2541,13,0,0,37,54,67,1,68,298,225,73,1300,1154,145,1,9,3,0,26,12,122,44,24,130,95,34,39,0.333333333333333,38,0.684210526315789,1
"226","Jason","LEV",1792,2,1,5,29,31,51,14,32,268,221,47,501,472,24,5,23,10,2,25,46,95,25,7,84,137,18,29,0.434782608695652,71,0.352112676056338,0
"229","Javi Castellano","LPA",1565,4,0,0,26,14,3,0,47,176,117,59,1078,1010,68,0,3,2,0,7,5,91,27,20,78,39,29,30,0.666666666666667,12,0.583333333333333,0
"230","Javi Fuego","VIL",1880,8,0,0,34,37,1,0,53,239,168,71,950,857,92,1,4,2,0,5,3,119,36,17,89,79,38,33,0.5,8,0.625,0
"231","Javi García","BET",2410,6,1,1,33,33,0,0,34,241,161,80,1676,1574,102,0,7,1,0,13,4,141,22,12,79,82,48,32,0.142857142857143,17,0.764705882352941,1
"232","Javi López","ESP",967,4,0,0,20,20,28,0,47,154,121,33,440,384,56,0,2,0,0,7,7,55,35,12,71,50,18,15,0,14,0.5,0
"233","Jefferson Lerma","LEV",2137,16,0,0,51,55,2,0,52,346,210,136,1092,990,98,4,18,1,1,19,3,188,36,16,118,92,88,48,0.0555555555555556,22,0.863636363636364,1
"234","Jesús Navas","SEV",1762,2,1,8,24,16,93,2,32,164,128,36,782,700,80,2,16,5,0,16,12,106,25,7,71,57,12,24,0.3125,28,0.571428571428571,0
"236","Joan Jordán","EIB",2422,1,6,5,17,37,53,66,31,317,245,72,1181,1034,144,3,30,17,4,42,22,176,24,7,89,156,37,35,0.566666666666667,64,0.65625,1
"237","Joaquín","BET",2487,7,4,5,40,21,56,60,22,274,226,48,1233,1128,96,9,27,14,7,64,29,131,19,3,125,101,18,30,0.518518518518518,93,0.688172043010753,1
"241","Jonny","CEL",3203,10,2,1,37,50,51,0,102,415,344,71,1743,1594,144,5,8,4,1,46,28,213,78,24,183,161,37,34,0.5,74,0.621621621621622,1
"243","Jordi Alba","BAR",2744,8,2,16,21,35,46,1,63,227,191,36,2102,2000,100,2,11,5,8,23,10,189,42,21,107,84,15,21,0.454545454545455,33,0.696969696969697,1
"244","Jordi Amat","BET",2051,6,0,0,10,38,0,0,32,175,115,60,1598,1442,156,0,3,1,0,18,4,112,23,9,59,56,30,30,0.333333333333333,22,0.818181818181818,1
"245","Jorge Molina","GET",2790,10,7,39,61,54,17,0,18,532,272,260,834,796,29,9,54,26,4,23,43,88,10,8,93,179,106,154,0.481481481481481,66,0.348484848484849,1
"248","Jozabed","CEL",1483,7,0,2,10,14,6,2,18,96,82,14,876,786,85,5,16,5,4,6,4,126,12,6,34,48,5,9,0.3125,10,0.6,0
"250","Juanfran","ATM",1308,3,0,5,9,32,36,0,33,127,112,15,504,476,27,1,1,0,1,7,7,76,24,9,49,63,5,10,0,14,0.5,0
"251","Juanfran","DEP",3058,3,0,1,32,24,160,2,64,314,241,73,1405,1213,191,1,16,7,1,47,25,201,44,20,140,101,42,31,0.4375,72,0.652777777777778,1
"253","Juankar","MGA",784,2,0,1,8,9,24,0,23,78,61,17,316,276,39,1,0,0,0,6,5,51,17,6,36,25,6,11,0,11,0.545454545454545,0
"254","Juanmi","RSO",1490,3,8,16,23,20,5,0,22,159,130,29,348,332,16,0,28,13,2,11,16,57,13,9,56,74,11,18,0.464285714285714,27,0.407407407407407,0
"255","Juanpe","GIR",3064,7,5,1,7,48,4,0,48,215,120,95,1335,999,336,0,17,11,1,4,0,108,30,18,58,62,61,34,0.647058823529412,4,1,1
"258","Juncà","EIB",902,3,0,0,7,14,63,8,15,73,62,11,463,381,81,1,3,0,2,10,3,58,13,2,32,30,5,6,0,13,0.769230769230769,0
"259","Jurado","ESP",1506,1,0,0,34,6,23,1,18,156,151,5,607,559,46,2,9,2,3,35,23,116,14,4,87,64,2,3,0.222222222222222,58,0.603448275862069,0
"260","Keko","MGA",1217,3,0,6,28,35,41,0,38,204,180,24,343,317,26,0,11,5,2,10,8,88,23,15,76,104,14,10,0.454545454545455,18,0.555555555555556,0
"261","Kepa","ATH",2700,4,0,0,7,1,0,0,0,17,7,10,937,223,714,0,0,0,0,0,0,253,0,0,4,3,9,1,0,0,0,1
"262","Kévin Rodrigues","RSO",1633,2,1,0,15,23,70,1,44,171,132,39,702,661,41,0,10,3,2,14,10,100,32,12,72,60,20,19,0.3,24,0.583333333333333,0
"264","Keylor Navas","RMA",2430,1,0,0,3,1,0,0,2,11,7,4,570,332,238,0,0,0,0,0,0,201,1,1,5,2,4,0,0,0,0,1
"265","Kike","EIB",2464,5,8,13,76,47,15,0,14,439,196,243,688,666,22,0,55,27,1,13,17,101,8,6,91,105,107,136,0.490909090909091,30,0.433333333333333,1
"266","Kiko Casilla","RMA",900,0,0,0,0,0,0,0,1,3,1,2,219,125,94,0,0,0,0,0,0,78,0,1,1,0,2,0,0,0,0,0
"267","Koke","ATM",2762,3,4,1,51,24,62,97,75,326,299,27,1989,1777,197,15,21,14,4,20,7,232,45,30,142,157,17,10,0.666666666666667,27,0.740740740740741,1
"268","Kondogbia","VAL",2617,11,4,1,53,57,3,0,88,440,357,83,1548,1372,172,4,19,8,4,55,9,231,57,31,192,165,45,38,0.421052631578947,64,0.859375,1
"269","Kovacic","RMA",988,2,0,0,20,10,4,1,38,145,137,8,791,741,49,1,6,2,1,33,4,78,27,11,91,46,1,7,0.333333333333333,37,0.891891891891892,0
"270","Krohn-Dehli","DEP",1266,2,1,2,5,12,12,19,25,112,93,19,700,646,52,2,11,3,1,15,3,91,16,9,45,48,5,14,0.272727272727273,18,0.833333333333333,0
"271","Lacen","MGA",1121,3,0,0,11,20,8,0,38,143,113,30,502,448,54,0,5,1,0,5,3,83,20,18,54,59,17,13,0.2,8,0.625,0
"272","Laguardia","ALA",1530,3,2,0,5,10,2,0,20,109,42,67,558,374,184,0,5,2,0,1,0,75,15,5,26,16,45,22,0.4,1,1,0
"273","Lato","VAL",798,4,0,1,8,10,10,0,30,94,74,20,329,292,37,0,1,0,1,8,1,55,16,14,45,29,9,11,0,9,0.888888888888889,0
"274","Léo Baptistão","ESP",2686,4,8,14,49,48,34,0,54,412,302,110,686,655,26,5,63,28,3,30,50,128,34,20,131,171,48,62,0.444444444444444,80,0.375,1
"275","Llorente R.","RSO",2328,8,3,0,27,35,3,0,30,242,122,120,1521,1314,207,0,21,7,0,16,2,148,22,8,71,51,64,56,0.333333333333333,18,0.888888888888889,1
"276","Lobotka","CEL",3061,2,0,0,47,42,10,0,64,332,272,60,2069,1902,165,2,6,3,0,44,4,289,45,19,155,117,26,34,0.5,48,0.916666666666667,1
"277","Loïc Remy","GET",1219,3,8,12,19,22,12,0,8,158,104,54,349,327,21,1,35,22,0,27,12,33,5,3,54,50,26,28,0.628571428571429,39,0.692307692307692,0
"278","Loren","BET",1064,3,7,5,28,26,4,0,14,186,139,47,189,177,9,3,20,14,0,19,14,28,8,6,60,79,14,33,0.7,33,0.575757575757576,0
"281","Lucas Digne","BAR",702,2,0,2,7,12,15,0,22,69,51,18,480,462,18,0,2,1,2,3,3,58,17,5,32,19,9,9,0.5,6,0.5,0
"282","Lucas Hernández","ATM",2116,6,0,4,46,31,17,0,93,312,233,79,916,816,99,1,5,1,1,30,8,134,68,25,166,67,44,35,0.2,38,0.789473684210526,1
"283","Lucas Pérez","DEP",2796,3,8,37,33,25,81,111,17,235,214,21,808,736,65,7,41,26,6,32,38,112,12,5,80,134,6,15,0.634146341463415,70,0.457142857142857,1
"284","Lucas Vázquez","RMA",1668,3,4,12,42,33,78,20,48,282,260,22,894,849,44,1,25,17,7,36,30,85,33,15,126,134,5,17,0.68,66,0.545454545454545,0
"285","Luis H. ","MGA",3240,7,0,3,10,42,8,0,49,210,119,91,1413,1117,295,1,3,0,1,3,0,190,43,6,62,57,48,43,0,3,1,1
"286","Luis Muriel","SEV",1603,4,7,31,13,26,17,2,16,241,166,75,421,410,7,4,45,21,1,28,30,41,9,7,57,109,26,49,0.466666666666667,58,0.482758620689655,0
"287","Luis Suárez","BAR",2899,8,25,56,50,46,12,1,17,288,266,22,1055,977,67,11,94,56,12,38,64,50,10,7,103,163,13,9,0.595744680851064,102,0.372549019607843,1
"288","Luisinho","DEP",2622,11,1,2,49,43,88,0,111,350,308,42,1182,1012,169,1,11,4,1,43,18,157,77,34,203,105,19,23,0.363636363636364,61,0.704918032786885,1
"289","M. Gómez","CEL",3077,12,17,32,92,54,16,0,7,414,221,193,630,589,40,1,61,38,4,14,15,68,4,3,107,114,89,104,0.622950819672131,29,0.482758620689655,1
"290","M. Guerrero","LEG",1438,3,4,13,23,36,1,0,7,198,114,84,370,362,7,1,27,12,3,9,13,37,5,2,39,75,42,42,0.444444444444444,22,0.409090909090909,0
"291","M. M. Dos Santos","LEG",981,3,0,2,3,9,3,0,16,72,38,34,308,240,68,0,1,1,0,1,1,35,14,2,20,18,21,13,1,2,0.5,0
"292","M. Navarro","ESP",1105,3,1,0,8,12,61,0,20,122,88,34,392,331,60,1,14,5,0,9,20,59,13,7,36,52,12,22,0.357142857142857,29,0.310344827586207,0
"293","M. Trigueros","VIL",2709,9,3,1,43,38,52,53,61,323,271,52,1816,1630,177,9,24,8,4,33,13,213,41,20,136,135,28,24,0.333333333333333,46,0.717391304347826,1
"295","Mantovani","LEG",1019,3,1,0,15,17,0,0,12,106,45,61,377,319,58,0,5,1,0,2,0,45,5,7,28,17,36,25,0.2,2,1,0
"296","Manu García","ALA",2438,9,3,5,72,65,12,0,97,475,342,133,984,857,125,2,21,8,0,18,9,182,66,31,181,161,75,58,0.380952380952381,27,0.666666666666667,1
"298","Marcelo","RMA",2262,3,2,3,41,26,154,11,53,269,234,35,1608,1424,180,4,25,9,6,33,29,159,37,16,127,107,9,26,0.36,62,0.532258064516129,1
"299","Marco Asensio","RMA",1839,2,6,2,27,9,75,50,26,154,148,6,1133,1077,47,9,40,23,6,31,14,78,17,9,84,64,3,3,0.575,45,0.688888888888889,0
"301","Mario Gaspar","VIL",2805,6,2,3,15,44,60,0,109,353,257,96,1441,1287,153,1,23,10,3,22,24,157,67,42,144,113,59,37,0.434782608695652,46,0.478260869565217,1
"302","Markel Bergara","GET",1469,5,4,2,18,34,5,0,34,169,108,61,385,359,26,0,14,9,1,2,0,80,21,13,52,56,30,31,0.642857142857143,2,1,0
"305","Matías Aguirregaray","LPA",1155,3,0,1,21,19,19,0,25,151,120,31,549,472,75,2,6,0,0,14,9,87,20,5,60,60,14,17,0,23,0.608695652173913,0
"306","Mauro Arambarri","GET",2135,8,1,0,42,50,6,0,56,279,230,49,618,468,147,3,13,3,1,13,11,166,41,15,110,120,18,31,0.230769230769231,24,0.541666666666667,1
"307","Maxime Lestienne","MGA",671,1,0,1,3,3,26,8,8,57,52,5,200,183,17,0,11,1,1,10,8,37,5,3,21,31,0,5,0.0909090909090909,18,0.555555555555556,0
"309","Melendo","ESP",680,1,0,0,21,6,5,2,2,67,52,15,257,236,19,2,5,2,1,8,7,38,2,0,30,22,4,11,0.4,15,0.533333333333333,0
"310","Messi","BAR",2996,3,34,13,80,17,26,44,17,512,493,19,1883,1735,111,37,153,96,12,185,72,86,8,9,282,211,8,11,0.627450980392157,257,0.719844357976654,1
"311","Michel Macedo","LPA",2136,4,0,6,43,38,65,0,33,223,160,63,914,841,71,2,6,3,1,14,8,124,24,9,88,72,34,29,0.5,22,0.636363636363636,1
"313","Miguel Layún","SEV",1181,4,2,0,9,12,44,11,28,107,81,26,511,436,74,1,15,5,0,8,3,64,19,9,44,37,15,11,0.333333333333333,11,0.727272727272727,0
"314","Miguel Torres","MGA",675,3,0,2,0,8,4,0,16,45,33,12,251,213,38,0,1,0,0,0,1,36,13,3,16,17,5,7,0,1,0,0
"315","Mikel Oyarzabal","RSO",2779,4,12,17,46,28,32,60,33,367,286,81,907,852,53,2,49,32,5,40,42,111,23,10,118,168,33,48,0.653061224489796,82,0.48780487804878,1
"316","Mikel Rico","ATH",1170,2,0,0,23,19,11,1,24,138,120,18,535,478,56,1,11,1,0,10,8,125,13,11,57,63,6,12,0.0909090909090909,18,0.555555555555556,0
"317","Miquel","MGA",1775,5,0,0,14,41,2,0,19,188,95,93,692,506,185,1,8,1,0,10,2,87,10,9,42,53,45,48,0.125,12,0.833333333333333,0
"318","Modric","RMA",1976,3,1,0,31,20,14,6,33,212,193,19,1547,1378,158,11,26,8,6,48,15,149,22,11,112,81,7,12,0.307692307692308,63,0.761904761904762,1
"319","Mojica","GIR",2132,6,0,6,47,38,147,1,42,341,278,63,774,696,77,1,11,2,4,47,69,161,27,15,135,143,27,36,0.181818181818182,116,0.405172413793103,1
"321","Momo","LPA",674,3,0,3,21,5,24,12,14,81,69,12,356,325,29,2,4,1,1,7,4,44,8,6,42,27,4,8,0.25,11,0.636363636363636,0
"322","Montoya","VAL",2152,7,0,1,28,38,51,1,66,257,198,59,984,892,92,0,5,5,4,19,14,98,48,18,112,86,34,25,1,33,0.575757575757576,1
"323","Morales","LEV",3065,6,10,9,43,28,133,18,37,462,417,45,792,716,68,8,45,25,8,91,93,181,23,14,168,249,13,32,0.555555555555556,184,0.494565217391304,1
"324","Moyà","RSO",765,0,0,0,0,1,0,0,0,4,2,2,337,152,185,0,0,0,0,0,0,86,0,0,0,2,2,0,0,0,0,0
"326","Muniain ","ATH",775,1,4,1,29,5,10,5,10,112,107,5,429,392,32,5,16,10,2,22,14,45,8,2,61,46,2,3,0.625,36,0.611111111111111,0
"327","Muniesa","GIR",1129,3,0,0,9,12,1,0,33,118,75,43,630,524,106,0,2,1,1,5,2,69,18,15,47,28,24,19,0.5,7,0.714285714285714,0
"328","Munir","ALA",2456,7,10,45,114,33,49,35,25,412,311,101,627,593,31,3,51,23,6,28,22,83,20,5,162,149,38,63,0.450980392156863,50,0.56,1
"329","Muñoz","LEG",1407,2,0,2,6,18,1,0,36,131,67,64,495,419,76,0,5,2,1,3,0,79,28,8,43,24,38,26,0.4,3,1,0
"330","Murillo","VAL",1374,4,0,2,15,16,0,0,31,143,71,72,751,654,96,1,1,0,0,3,0,85,24,7,48,23,46,26,0,3,1,0
"331","N'Zonzi","SEV",2215,2,1,2,13,31,10,0,39,243,118,125,1850,1763,87,0,15,5,2,13,3,186,26,13,63,55,102,23,0.333333333333333,16,0.8125,1
"332","N. Semedo","BAR",1495,1,0,3,21,12,15,0,34,164,150,14,978,917,60,1,3,2,0,28,18,103,25,9,83,67,7,7,0.666666666666667,46,0.608695652173913,0
"333","Nacho Gil","LPA",958,1,0,2,33,20,12,36,16,142,123,19,333,318,15,0,4,3,1,10,11,43,7,9,58,65,9,10,0.75,21,0.476190476190476,0
"334","Nacho","RMA",2073,7,3,0,28,33,24,0,55,207,142,65,1109,1033,75,1,8,4,0,6,4,125,40,15,85,57,38,27,0.5,10,0.6,1
"336","Naldo","ESP",922,2,0,1,0,7,0,0,14,72,28,44,432,370,62,0,1,0,0,2,0,45,8,6,16,12,24,20,0,2,1,0
"339","Neto","VAL",2970,2,0,0,4,0,0,0,1,12,5,7,668,167,501,0,1,0,0,0,0,242,1,0,4,1,7,0,0,0,0,1
"340","Nolito","SEV",1599,4,4,20,24,17,17,20,49,236,203,33,606,554,43,9,33,18,5,27,27,97,36,13,100,103,13,20,0.545454545454545,54,0.5,0
"341","O. Duarte","ESP",990,1,0,0,6,8,1,0,12,81,32,49,481,363,118,0,2,0,0,1,0,33,9,3,17,15,34,15,0,1,1,0
"342","Oblak ","ATM",3330,1,0,0,3,2,0,0,0,13,7,6,799,187,612,0,0,0,0,3,0,284,0,0,5,2,5,1,0,3,1,1
"343","Oier","LEV",2340,2,0,0,4,2,0,0,0,15,9,6,648,120,528,0,0,0,0,2,0,241,0,0,5,4,5,1,0,2,1,1
"345","Omar R.","LEG",1457,3,0,2,18,14,56,24,22,202,167,35,426,377,46,3,6,2,1,33,26,75,14,8,73,94,15,20,0.333333333333333,59,0.559322033898305,0
"346","Orellana","EIB",1182,4,3,5,20,15,39,23,14,244,206,38,469,430,38,1,19,5,2,33,60,82,8,6,67,139,12,26,0.263157894736842,93,0.354838709677419,0
"347","P. Hernández ","CEL",1812,5,3,8,62,54,7,0,48,378,240,138,1230,1088,138,4,14,3,2,18,9,166,33,15,123,117,82,56,0.214285714285714,27,0.666666666666667,0
"348","P. León","EIB",929,1,0,3,10,12,67,68,9,108,79,29,286,257,29,0,17,8,3,18,14,36,4,5,37,42,10,19,0.470588235294118,32,0.5625,0
"349","P. Mosquera","DEP",1397,7,0,0,12,32,11,0,48,204,147,57,707,581,125,1,9,3,2,9,4,114,31,17,69,78,23,34,0.333333333333333,13,0.692307692307692,0
"350","Pablo Fornals","VIL",2622,4,3,2,32,34,23,9,52,313,248,65,1326,1190,119,17,33,14,12,26,26,195,33,19,109,139,29,36,0.424242424242424,52,0.5,1
"351","Pablo Maffeo","GIR",2650,11,0,1,35,30,112,2,74,356,258,98,851,734,116,1,20,7,1,33,28,165,55,19,139,119,62,36,0.35,61,0.540983606557377,1
"352","Pablo Sarabia","SEV",2398,7,6,20,41,46,77,45,27,280,237,43,1008,946,54,8,42,27,5,21,24,133,19,8,87,150,14,29,0.642857142857143,45,0.466666666666667,1
"353","Pacheco","ALA",3357,2,0,0,3,0,0,0,0,8,2,6,952,141,811,0,0,0,0,1,0,297,0,0,2,0,6,0,0,1,1,1
"356","Pau López","ESP",2566,3,0,0,5,0,0,0,0,13,4,9,682,152,530,0,0,0,0,0,0,259,0,0,4,0,8,1,0,0,0,1
"357","Paulinho","BAR",1939,2,9,4,33,32,3,0,39,268,200,68,1219,1177,39,3,38,22,2,25,18,112,28,11,96,104,30,38,0.578947368421053,43,0.581395348837209,1
"358","Paulo","EIB",2215,3,0,0,12,15,1,0,41,209,76,133,888,662,225,1,10,3,0,2,0,115,22,19,54,22,71,62,0.3,2,1,1
"360","Pedraza","ALA",2441,5,3,5,22,46,76,1,56,335,289,46,595,541,53,1,29,13,5,43,55,131,40,16,121,168,20,26,0.448275862068966,98,0.438775510204082,1
"361","Pedro López","LEV",1596,4,0,4,29,19,53,0,33,154,122,32,576,504,72,0,2,0,0,7,15,89,23,10,68,54,9,23,0,22,0.318181818181818,0
"363","Peñaranda","MGA",807,3,0,3,27,28,5,0,10,189,125,64,242,236,6,0,17,6,0,15,14,41,6,4,52,73,17,47,0.352941176470588,29,0.517241379310345,0
"364","Pere Pons","GIR",2564,8,0,0,35,59,3,0,80,391,323,68,1025,932,89,4,9,4,2,41,16,176,54,26,156,167,24,44,0.444444444444444,57,0.719298245614035,1
"365","Piatti","ESP",1747,0,2,7,52,35,84,63,45,320,251,69,521,487,33,1,21,6,3,24,25,107,32,13,121,130,23,46,0.285714285714286,49,0.489795918367347,0
"366","Piqué","BAR",2633,9,2,3,11,23,2,0,31,203,109,94,1852,1634,218,0,13,5,0,13,3,206,22,9,54,55,65,29,0.384615384615385,16,0.8125,1
"368","Portillo","GET",2465,6,2,2,29,27,26,8,39,311,256,55,970,886,69,15,12,8,3,36,40,173,24,15,102,154,14,41,0.666666666666667,76,0.473684210526316,1
"369","Portu","GIR",3010,5,11,23,55,54,72,0,30,448,348,100,587,564,18,5,41,25,5,50,68,140,24,6,131,217,21,79,0.609756097560976,118,0.423728813559322,1
"370","Postigo","LEV",2426,6,1,0,15,12,3,0,36,152,89,63,952,739,211,2,4,2,0,9,2,113,23,13,58,31,26,37,0.5,11,0.818181818181818,1
"371","R. Albentosa","DEP",1749,5,1,1,14,15,2,0,13,115,56,59,769,591,177,1,10,2,0,2,1,73,6,7,27,29,41,18,0.2,3,0.666666666666667,0
"372","Radoja","CEL",1097,3,0,1,15,11,4,0,18,112,78,34,606,576,30,0,4,2,1,11,5,64,16,2,44,34,19,15,0.5,16,0.6875,0
"374","Rakitic","BAR",2838,4,1,3,46,33,18,49,52,268,219,49,2495,2285,199,11,20,11,5,26,8,232,31,21,123,96,25,24,0.55,34,0.764705882352941,1
"375","Ramalho","GIR",2297,3,0,1,12,20,7,0,25,151,85,66,877,689,188,0,6,1,0,13,3,135,16,9,49,36,39,27,0.166666666666667,16,0.8125,1
"376","Ramis ","EIB",1303,4,3,2,8,11,1,0,20,140,53,87,696,539,157,0,10,7,0,4,0,107,14,6,29,24,56,31,0.7,4,1,0
"377","Raúl C.","LEG",1388,1,0,0,17,10,58,17,34,128,99,29,476,394,81,1,7,1,2,11,8,94,25,9,62,37,13,16,0.142857142857143,19,0.578947368421053,0
"378","Raúl García","ATH",2637,10,10,16,74,79,40,0,81,543,319,224,847,759,79,9,68,34,1,12,8,121,50,31,158,161,130,94,0.5,20,0.6,1
"379","Raúl Lizoain","LPA",990,0,0,0,3,0,0,0,1,7,7,0,318,180,138,0,0,0,0,0,0,99,0,1,5,2,0,0,0,0,0,0
"380","Raúl Navas","RSO",1792,4,0,0,6,13,1,0,22,126,63,63,1218,1012,204,2,11,2,1,6,0,120,15,7,34,29,40,23,0.181818181818182,6,1,0
"381","Recio","MGA",1841,9,1,1,44,42,33,40,54,279,234,45,952,850,97,5,17,4,2,17,11,145,42,12,114,120,22,23,0.235294117647059,28,0.607142857142857,0
"382","Ricca","MGA",1111,4,0,0,6,18,32,0,43,129,85,44,434,354,80,0,4,3,1,7,1,50,24,19,56,29,26,18,0.75,8,0.875,0
"383","Rico","LEG",2228,8,2,4,43,37,103,26,68,268,217,51,924,775,149,0,17,8,2,20,15,183,43,25,128,89,30,21,0.470588235294118,35,0.571428571428571,1
"386","Riza Durmisi","BET",2080,4,2,2,10,15,66,3,39,118,95,23,825,746,78,1,13,6,3,8,12,89,21,18,57,38,6,17,0.461538461538462,20,0.4,1
"387","Róber","LEV",1904,4,0,0,7,17,3,0,35,132,89,43,671,566,105,0,6,1,0,8,0,125,22,13,48,41,18,25,0.166666666666667,8,1,1
"388","Roberto Rosales ","MGA",3125,10,1,3,22,47,125,44,104,357,260,97,1410,1198,212,0,13,6,0,18,16,245,69,35,143,117,50,47,0.461538461538462,34,0.529411764705882,1
"389","Roberto Soriano","VIL",1135,3,0,7,32,36,17,3,30,186,149,37,484,468,13,3,17,6,0,14,7,66,20,10,75,74,13,24,0.352941176470588,21,0.666666666666667,0
"390","Roberto","MGA",3060,0,0,0,3,1,0,0,0,17,1,16,908,149,759,0,1,0,0,0,0,266,0,0,1,0,15,1,0,0,0,1
"392","Rodri","VIL",3228,8,1,2,35,78,5,0,104,454,314,140,2470,2253,214,3,24,10,3,25,3,320,71,33,162,152,100,40,0.416666666666667,28,0.892857142857143,1
"393","Rodrigo Ely","ALA",2692,10,1,2,19,29,1,0,32,253,88,165,1027,753,272,2,15,4,0,3,0,129,18,14,49,39,114,51,0.266666666666667,3,1,1
"394","Rodrigo","VAL",2695,4,16,20,40,28,26,2,23,321,241,80,892,820,60,12,71,40,4,44,33,86,13,10,106,135,35,45,0.563380281690141,77,0.571428571428571,1
"396","Roger","LEV",962,4,3,5,14,17,6,0,8,112,78,34,189,175,12,2,20,8,2,13,5,34,4,4,34,44,10,24,0.4,18,0.722222222222222,0
