"","Nombre","Equipo","Minutos","T.Amarillas","Goles","Fueras.De.Juego","Faltas.Recibidas","Faltas.Cometidas","Centros","Corners","Entradas","Duelos","Duelos.Cuerpo","Duelos.Aire","Pases","Pases.Cortos","Pases.Largos","Pases.Hueco","Tiros","Tiros.Puerta","Asistencias","Regates.Exito","Regates.Fracaso","Recuperaciones","Entradas.Exito","Entradas.Fracaso","Duelos.Cuerpo.Exito","Duelos.Cuerpo.Fracaso","Duelos.Aire.Exito","Duelos.Aire.Fracaso","Precision.Tiros","Regates","Precision.Regates","Importante"
"51","Barragán","BET",2377,7,0,4,19,51,92,0,59,250,183,67,1316,1222,92,2,7,4,6,14,23,132,42,17,90,93,46,21,0.571428571428571,37,0.378378378378378,1
"52","Bartra","BET",1421,6,1,0,16,20,2,0,38,195,118,77,1091,915,173,3,11,4,0,22,2,114,28,10,76,42,51,26,0.363636363636364,24,0.916666666666667,0
"53","Beauvue","LEG",1670,4,2,17,27,30,11,0,5,311,122,189,302,288,12,2,30,9,0,13,10,31,3,2,39,83,73,116,0.3,23,0.565217391304348,0
"55","Ben Yedder","SEV",1699,1,9,21,20,17,8,0,12,182,109,73,471,455,15,1,39,28,3,16,14,60,8,4,48,61,15,58,0.717948717948718,30,0.533333333333333,0
"56","Benzema","RMA",2156,0,5,16,11,19,6,1,13,187,149,38,868,825,35,8,48,18,10,33,16,43,8,5,57,92,9,29,0.375,49,0.673469387755102,1
"57","Beñat","ATH",1115,3,0,0,15,17,32,49,28,119,108,11,727,629,96,2,10,3,2,6,6,105,20,8,48,60,6,5,0.3,12,0.5,0
"58","Bernardo","GIR",2868,7,0,3,16,40,1,0,36,267,106,161,1169,889,280,0,19,4,3,2,2,126,22,14,52,54,104,57,0.210526315789474,4,0.5,1
"59","Bigas","LPA",896,3,0,1,6,12,0,0,14,70,50,20,588,516,72,0,3,1,0,10,2,53,9,5,29,21,12,8,0.333333333333333,12,0.833333333333333,0
"60","Boateng","LEV",1270,5,6,9,38,41,3,0,4,267,124,143,221,212,9,0,35,16,0,15,9,34,3,1,56,68,74,69,0.457142857142857,24,0.625,0
"62","Bonera","VIL",1190,4,0,0,11,14,0,0,16,70,44,26,566,470,95,1,2,0,1,1,0,48,11,5,25,19,18,8,0,1,1,0
"63","Borja Bastón","MGA",977,2,2,9,7,16,5,0,9,128,60,68,229,222,4,3,21,10,0,3,7,20,7,2,19,41,26,42,0.476190476190476,10,0.3,0
"64","Borja G.","GIR",2812,2,2,0,110,26,66,42,39,369,325,44,1315,1170,133,12,40,10,5,40,41,190,18,21,186,139,15,29,0.25,81,0.493827160493827,1
"69","Bounou","GIR",2655,2,0,0,1,1,0,0,1,11,5,6,790,118,672,0,0,0,0,1,0,246,1,0,2,3,4,2,0,1,1,1
"70","Bóveda","DEP",1191,3,0,1,4,21,22,0,36,134,84,50,470,405,65,0,0,0,1,3,4,56,27,9,43,41,25,25,0,7,0.428571428571429,0
"72","Bruno","GET",1538,5,0,2,10,19,0,0,25,136,66,70,336,249,87,0,3,0,0,1,0,59,18,7,35,31,40,30,0,1,1,0
"74","Burgui","ALA",1034,0,1,5,19,12,12,2,10,102,91,11,336,310,22,4,8,4,0,21,15,55,5,5,49,42,3,8,0.5,36,0.583333333333333,0
"75","Bustinza M.","LEG",1636,5,2,2,19,27,8,0,36,183,97,86,628,504,124,0,13,9,0,3,3,86,21,15,54,43,41,45,0.692307692307692,6,0.5,0
"76","Cabrera","GET",720,3,0,1,2,14,12,0,19,84,48,36,214,125,89,0,2,1,0,3,0,39,10,9,24,24,19,17,0.5,3,1,0
"77","Calleri","LPA",3111,7,9,39,75,73,30,0,24,551,298,253,710,667,42,1,77,28,3,31,33,84,16,8,121,177,113,140,0.363636363636364,64,0.484375,1
"78","Camarasa","BET",1253,2,1,2,31,19,4,2,20,145,122,23,630,583,46,1,19,4,0,11,9,72,15,5,62,60,10,13,0.210526315789474,20,0.55,0
"79","Campaña","LEV",2742,8,1,1,31,32,51,74,57,307,238,69,1569,1428,137,4,17,8,4,36,28,210,36,21,122,116,32,37,0.470588235294118,64,0.5625,1
"81","Canales","RSO",1921,4,4,0,29,23,66,101,31,220,205,15,1163,1050,107,6,44,15,5,44,22,116,25,6,104,101,2,13,0.340909090909091,66,0.666666666666667,1
