Nombre;Equipo;Bloq.;Inter.;Rec.;Desp.;Ent. E.;Ent. F.;U. H.;Due. E.;Due. F.;Aer. E.;Aer. F.
Etebo;LPA;3;28;90;8;17;7;1;92;68;14;14
Etxeita;ATH;2;7;17;25;2;0;0;4;12;6;10
Ezequiel Garay;VAL;11;24;101;135;12;6;0;31;24;45;25
Fabian Schär;DEP;20;45;131;139;45;14;0;93;76;45;38
Fabián;BET;3;41;252;34;53;30;0;186;144;26;17
Facundo Roncaglia;CEL;6;31;112;49;25;10;0;52;36;23;19
Fahad Al-Muwallad;LEV;0;1;3;0;0;0;0;0;4;0;0
Fajr ;GET;4;30;178;39;44;17;0;114;121;25;27
Feddal;BET;13;36;73;92;14;8;0;40;28;28;17
Fede Cartabia;DEP;0;18;93;5;23;13;0;117;88;5;25
Fede Valverde;DEP;1;21;81;14;16;9;0;35;32;15;14
Fernando Navarro;DEP;3;29;52;42;22;10;0;52;30;18;15
Fernando Torres;ATM;1;2;35;9;8;3;0;47;59;50;42
Ferrán Torres;VAL;0;3;18;1;7;1;0;21;22;4;5
Filipe Luis;ATM;7;35;111;31;52;31;0;135;59;18;11
Fontàs;CEL;5;13;51;28;9;4;0;13;19;10;14
Francesc Regis;EIB;0;0;0;0;1;0;0;1;0;0;0
Francis Coquelin;VAL;2;21;60;23;14;4;0;39;37;20;8
Franco Vázquez;SEV;2;11;119;11;32;7;0;127;156;38;33
G. Cabral;CEL;11;43;109;102;21;8;0;32;41;58;38
Gabi;ATM;10;44;235;36;49;31;1;111;138;19;18
Gabriel;LEG;4;38;208;26;69;20;0;187;181;112;89
Gabriel;VAL;14;51;166;136;27;20;3;66;33;64;29
Gabriel Mercado;SEV;20;41;118;78;37;18;0;73;66;41;37
Gaku Shibasaki;GET;1;19;58;7;10;11;0;46;63;6;31
Gameiro;ATM;0;4;30;4;9;2;0;29;42;9;28
Ganso;SEV;0;2;42;4;11;4;0;30;25;2;10
Gayá;VAL;12;56;176;77;60;17;2;160;101;24;29
Gerard;DEP;0;3;7;2;4;1;0;8;10;2;5
Gerard;ESP;6;20;146;47;28;13;0;176;218;138;165
Giménez;ATM;15;30;107;97;27;11;0;61;29;58;31
Godín;ATM;20;59;135;140;33;17;0;79;61;57;38
Gonçalo Guedes;VAL;0;16;133;6;26;12;0;187;162;11;15
Granell;GIR;3;47;230;28;53;25;0;165;185;24;25
Granero;ESP;0;19;85;15;22;10;0;62;65;13;25
Griezmann;ATM;1;10;120;10;24;12;0;107;91;26;60
Guaita;GET;0;3;330;34;0;0;0;3;0;14;1
Guardado;BET;5;23;166;26;27;14;0;101;119;18;19
Guidetti;ALA;1;2;44;7;7;0;0;29;68;33;48
Guido Pizarro;SEV;7;27;124;48;47;28;0;122;109;47;26
Guilherme ;DEP;9;46;212;59;56;24;0;151;124;39;37
Guillermo Maripán;ALA;10;36;69;107;16;12;0;42;30;29;29
Gumbau;LEG;4;14;90;26;26;9;0;47;73;20;20
Gálvez;LPA;12;57;166;91;39;21;0;88;70;53;34
H.Moreno;RSO;3;9;55;16;3;4;0;17;9;27;13
Halilović;LPA;1;5;61;4;7;4;0;67;56;3;14
Hermoso;ESP;8;27;116;116;12;3;0;33;37;52;36
Hernán;LPA;0;8;21;4;9;9;0;25;17;7;5
Hernán Pérez;ALA;0;4;46;5;11;4;0;33;60;10;13
Hernán Toledo;LPA;0;5;34;4;5;0;0;41;52;0;3
Hugo Mallo;CEL;15;70;168;99;55;29;0;129;93;64;49
Héctor;ALA;0;0;0;1;1;0;0;1;0;0;0
I. Martínez;ATH;12;53;188;135;29;13;0;86;51;71;56
Iago Aspas;CEL;1;23;138;9;22;4;0;145;129;16;40
Iago Herrerín;ATH;0;0;66;10;1;1;0;4;2;3;1
Ibai;ALA;1;15;144;19;15;4;0;76;135;8;14
Ideye;MGA;0;1;18;11;2;0;0;20;40;23;40
Igor Zubeldia;RSO;5;32;115;28;29;10;0;63;59;38;24
Illarramendi;RSO;8;75;285;29;57;28;0;180;117;25;17
Imoh Ezekiel;LPA;0;2;21;2;6;2;0;22;23;3;14
Iniesta;BAR;2;11;123;9;22;6;0;131;80;2;7
Inui;EIB;0;18;127;5;21;18;0;128;166;13;32
Iraizoz;GIR;0;1;89;12;1;0;0;1;1;0;1
Isco;RMA;0;15;89;1;12;10;0;137;120;5;14
Iturra;MGA;2;29;122;20;45;25;0;110;105;22;23
Iturraspe;ATH;7;35;176;56;31;11;0;68;62;42;31
Ivi;LEV;1;15;95;12;34;14;0;100;170;11;20
Iván Alejo;EIB;0;5;67;0;16;4;0;95;90;13;14
Iván López;LEV;2;8;14;1;1;0;0;5;0;1;0
Iñigo Lekue;ATH;3;16;136;37;42;29;0;126;92;27;31
J. Costa;VIL;8;46;122;72;44;24;0;130;95;34;39
J. Naranjo;LEG;1;3;24;2;10;7;0;26;42;7;9
J. Ontiveros;MGA;2;4;29;3;7;3;0;30;45;7;7
Jaime Sierra;LEG;0;1;0;0;1;0;0;1;2;0;0
Jairo;LPA;1;1;24;5;6;3;0;26;36;5;11
Jason;LEV;1;20;95;6;25;7;0;84;137;18;29
Jasper Cillessen;BAR;0;0;6;1;0;0;0;0;0;0;0
Jaume;VAL;0;0;52;6;0;0;0;1;0;1;0
Javi Castellano;LPA;6;38;91;16;27;20;0;78;39;29;30
Javi Fuego;VIL;10;24;119;35;36;17;0;89;79;38;33
Javi García;BET;12;27;141;75;22;12;0;79;82;48;32
Javi López;ESP;2;18;55;44;35;12;0;71;50;18;15
Jefferson Lerma;LEV;10;49;188;38;36;16;1;118;92;88;48
Jesús Navas;SEV;5;19;106;30;25;7;0;71;57;12;24
Jesús Vallejo;RMA;5;16;39;21;7;1;1;15;6;9;11
Joan Jordán;EIB;0;30;176;11;24;7;0;89;156;37;35
Joaquín;BET;2;15;131;36;19;3;0;125;101;18;30
Johannes Geis;SEV;5;10;57;26;15;5;0;21;21;6;7
Jon Bautista;RSO;0;0;5;0;0;0;0;2;7;7;10
Jon Guridi;RSO;0;0;1;0;0;1;0;2;2;0;1
Jonny;CEL;8;94;213;70;78;24;1;183;161;37;34
Jony;MGA;0;2;12;1;2;1;0;10;24;0;1
Jordi Alba;BAR;5;68;189;51;42;21;0;107;84;15;21
Jordi Amat;BET;4;37;112;75;23;9;1;59;56;30;30
Jorge Molina;GET;4;7;88;27;10;8;0;93;179;106;154
Jose Arnáiz;BAR;0;0;0;0;1;0;0;1;0;0;0
José Lara;SEV;0;0;0;0;0;0;0;1;1;0;0
Jozabed;CEL;2;17;126;17;12;6;0;34;48;5;9
Juan Cruz;MGA;0;0;1;0;2;0;0;3;0;0;0
Juanfran;ATM;4;26;76;24;24;9;0;49;63;5;10
Juanfran;DEP;11;64;201;101;44;20;0;140;101;42;31
Juanjo Narváez;BET;0;8;27;3;6;2;0;27;11;2;5
Juankar;MGA;1;19;51;20;17;6;1;36;25;6;11
Juanmi;RSO;0;8;57;2;13;9;0;56;74;11;18
Juanpe;GIR;19;53;108;134;30;18;0;58;62;61;34
Juanpi;MGA;0;6;28;1;8;3;0;35;53;2;15
Julio Gracia;BET;0;1;2;0;0;0;0;0;2;0;1
Juncà;EIB;1;11;58;19;13;2;0;32;30;5;6
Jurado;ESP;1;17;116;2;14;4;0;87;64;2;3
Keko;MGA;3;14;88;4;23;15;0;76;104;14;10
Kepa;ATH;0;2;253;21;0;0;0;4;3;9;1
Kevin Soni;GIR;0;0;0;0;1;0;0;2;2;1;0
Keylor Navas;RMA;0;3;201;14;1;1;1;5;2;4;0
Kike;EIB;1;10;101;14;8;6;0;91;105;107;136
Kiko Casilla;RMA;0;2;78;8;0;1;0;1;0;2;0
Koke;ATM;3;24;232;30;45;30;0;142;157;17;10
Kondogbia;VAL;14;62;231;65;57;31;0;192;165;45;38
Kovačić;RMA;4;5;78;5;27;11;0;91;46;1;7
Krohn-Dehli;DEP;0;17;91;12;16;9;0;45;48;5;14
Kévin Rodrigues;RSO;6;27;100;33;32;12;0;72;60;20;19
Lacen;MGA;1;15;83;12;20;18;0;54;59;17;13
Laguardia;ALA;14;29;75;108;15;5;0;26;16;45;22
Lato;VAL;3;9;55;16;16;14;0;45;29;9;11
Llorente R.;RSO;18;44;148;94;22;8;2;71;51;64;56
Lobotka;CEL;9;39;289;20;45;19;1;155;117;26;34
Loren;BET;1;1;28;9;8;6;0;60;79;14;33
Lozano;GIR;0;3;19;2;5;4;0;29;36;23;22
Loïc Remy;GET;0;2;33;4;5;3;0;54;50;26;28
Lucas Boyé;CEL;0;6;26;4;8;4;0;22;33;1;9
Lucas Digne;BAR;3;12;58;16;17;5;0;32;19;9;9
Lucas Hernández;ATM;10;40;134;78;68;25;3;166;67;44;35
Lucas Pérez;DEP;1;9;112;0;12;5;0;80;134;6;15
Lucas Vázquez;RMA;2;7;85;7;33;15;0;126;134;5;17
Luis H. ;MGA;21;77;190;181;43;6;0;62;57;48;43
Luis Muriel;SEV;2;3;41;3;9;7;0;57;109;26;49
Luis Suárez;BAR;3;8;50;31;10;7;0;103;163;13;9
Luisinho;DEP;4;55;157;92;77;34;0;203;105;19;23
Léo Baptistão;ESP;1;23;128;22;34;20;0;131;171;48;62
M. Guerrero;LEG;0;9;37;16;5;2;0;39;75;42;42
M. Gómez;CEL;4;3;68;34;4;3;0;107;114;89;104
M. M. Dos Santos;LEG;5;12;35;52;14;2;0;20;18;21;13
M. Navarro;ESP;6;22;59;12;13;7;0;36;52;12;22
M. Trigueros;VIL;13;22;213;41;41;20;0;136;135;28;24
Maksím Kóval;DEP;0;0;12;0;0;0;0;0;1;0;0
Mantovani;LEG;6;22;45;65;5;7;0;28;17;36;25
Manu García;ALA;11;36;182;65;66;31;0;181;161;75;58
Marc Roca;ESP;2;4;20;10;7;1;0;10;9;0;4
Marcelo;RMA;2;30;159;15;37;16;0;127;107;9;26
Marco Asensio;RMA;0;9;78;2;17;9;0;84;64;3;3
Marcos Llorente;RMA;0;5;46;8;8;7;0;25;18;8;11
Mario Gaspar;VIL;11;57;157;98;67;42;0;144;113;59;37
Markel Bergara;GET;3;22;80;20;21;13;0;52;56;30;31
Mathieu Flamini;GET;0;8;27;8;5;6;0;13;19;12;5
Mathías Olivera;GET;0;1;9;2;1;2;0;5;6;6;12
Matías Aguirregaray;LPA;1;24;87;20;20;5;1;60;60;14;17
Mauro Arambarri;GET;3;25;166;33;41;15;0;110;120;18;31
Maxime Lestienne;MGA;1;6;37;4;5;3;0;21;31;0;5
Mazan;CEL;0;2;5;0;0;0;0;1;4;1;0
Melendo;ESP;0;3;38;3;2;0;0;30;22;4;11
Messi;BAR;1;7;86;0;8;9;0;282;211;8;11
Michel Macedo;LPA;11;39;124;51;24;9;0;88;72;34;29
Miguel Layún;SEV;4;15;64;37;19;9;0;44;37;15;11
Miguel Torres;MGA;7;13;36;31;13;3;0;16;17;5;7
Miguel Ángel Rubio;GET;0;0;2;1;0;0;0;1;1;3;1
Mikel Oyarzabal;RSO;2;18;111;10;23;10;0;118;168;33;48
Mikel Rico;ATH;5;24;125;10;13;11;0;57;63;6;12
Miquel;MGA;13;33;87;111;10;9;0;42;53;45;48
Modrić;RMA;4;31;149;7;22;11;0;112;81;7;12
Mojica;GIR;3;32;161;31;27;15;0;135;143;27;36
Molinero;GET;0;14;32;21;10;3;0;22;33;6;7
Momo;LPA;0;5;44;1;8;6;0;42;27;4;8
Montoya;VAL;10;53;98;64;48;18;0;112;86;34;25
Morales;LEV;0;26;181;14;23;14;0;168;249;13;32
Moyà;RSO;0;2;86;9;0;0;0;0;2;2;0
Mujaid Sadick;DEP;2;1;6;4;2;2;0;4;2;0;1
Muniain ;ATH;0;4;45;3;8;2;0;61;46;2;3
Muniesa;GIR;5;33;69;36;18;15;0;47;28;24;19
Munir;ALA;2;9;83;5;20;5;0;162;149;38;63
Murillo;VAL;9;29;85;83;24;7;0;48;23;46;26
Muñoz;LEG;11;24;79;82;28;8;0;43;24;38;26
N'Zonzi;SEV;8;28;186;34;26;13;0;63;55;102;23
N. Semedo;BAR;2;22;103;22;25;9;0;83;67;7;7
Nacho;RMA;9;45;125;49;40;15;0;85;57;38;27
Nacho Gil;LPA;0;8;43;3;7;9;0;58;65;9;10
Nahuel;BET;0;3;17;1;4;1;0;20;17;1;2
Naldo;ESP;10;16;45;56;8;6;0;16;12;24;20
Nano;LEV;0;0;14;0;6;1;0;13;15;3;7
Nemanja Maksimovic;VAL;6;16;29;8;13;8;0;29;22;13;17
Neto;VAL;0;1;242;21;1;0;0;4;1;7;0
Nolito;SEV;2;10;97;14;36;13;0;100;103;13;20
O. Duarte;ESP;8;9;33;57;9;3;0;17;15;34;15
Oblak ;ATM;0;2;284;12;0;0;0;5;2;5;1
Oier;LEV;0;1;241;16;0;0;0;5;4;5;1
Olunga;GIR;0;3;20;5;5;1;0;11;19;20;28
Omar R.;LEG;1;14;75;12;14;8;0;73;94;15;20
Orellana;EIB;1;7;82;3;8;6;0;67;139;12;26
P. Hernández ;CEL;11;38;166;70;33;15;0;123;117;82;56
P. León;EIB;2;9;36;5;4;5;0;37;42;10;19
P. Mosquera;DEP;6;23;114;35;31;17;0;69;78;23;34
Pablo Fornals;VIL;3;21;195;15;33;19;0;109;139;29;36
Pablo Maffeo;GIR;7;50;165;61;55;19;0;139;119;62;36
Pablo Sarabia;SEV;1;30;133;22;19;8;0;87;150;14;29
Pacheco;GET;0;2;8;1;4;0;0;8;5;0;2
Pacheco;ALA;0;3;297;24;0;0;0;2;0;6;0
Pareja;SEV;1;13;18;25;8;3;0;13;12;14;5
Pau López;ESP;0;1;259;18;0;0;0;4;0;8;1
Paulinho;BAR;3;15;112;14;28;11;0;96;104;30;38
Paulo;EIB;9;62;115;135;22;19;3;54;22;71;62
Pazzini;LEV;0;1;6;1;0;0;0;13;23;5;12
Pedraza;ALA;5;32;131;19;40;16;0;121;168;20;26
Pedro López;LEV;7;28;89;37;23;10;0;68;54;9;23
Pere Pons;GIR;3;30;176;25;54;26;0;156;167;24;44
Peñalba;LPA;4;8;55;13;5;1;1;16;20;14;8
Peñaranda;MGA;1;0;41;1;6;4;0;52;73;17;47
Piatti;ESP;3;22;107;10;32;13;0;121;130;23;46
Piqué;BAR;27;30;206;124;22;9;0;54;55;65;29
Planas;GIR;0;5;13;6;2;3;0;5;6;3;1
Portillo;GET;1;22;173;15;24;15;0;102;154;14;41
Portu;GIR;0;12;140;1;24;6;0;131;217;21;79
Postigo;LEV;13;40;113;140;23;13;0;58;31;26;37
R. Albentosa;DEP;19;26;73;89;6;7;0;27;29;41;18
Radoja;CEL;2;10;64;11;16;2;0;44;34;19;15
Rafa Navarro;BET;0;1;6;6;2;1;0;9;8;1;3
Rakitić;BAR;7;44;232;14;31;21;0;123;96;25;24
Ramalho;GIR;11;35;135;106;16;9;0;49;36;39;27
Ramis ;EIB;5;25;107;51;14;6;0;29;24;56;31
Raúl C.;LEG;3;19;94;42;25;9;0;62;37;13;16
Raúl García;ATH;3;31;121;21;50;31;0;158;161;130;94
Raúl Lizoain;LPA;0;2;99;4;0;1;0;5;2;0;0
Raúl Navas;RSO;13;30;120;72;15;7;1;34;29;40;23
Recio;MGA;3;31;145;17;42;12;0;114;120;22;23
Ricca;MGA;2;24;50;35;24;19;0;56;29;26;18
Rico;LEG;6;76;183;37;43;25;0;128;89;30;21
Riesgo;EIB;0;0;10;1;0;0;0;0;0;2;0
Rivera;EIB;2;3;34;2;10;3;0;16;6;1;1
Riza Durmisi;BET;7;16;89;47;21;18;0;57;38;6;17
Roberto;MGA;0;2;266;29;0;0;0;1;0;15;1
Roberto Rosales ;MGA;13;58;245;86;69;35;0;143;117;50;47
Roberto Soriano;VIL;0;4;66;8;20;10;0;75;74;13;24
Rochina;LEV;0;2;12;0;5;3;0;17;12;0;2
Rodri;VIL;21;54;320;96;71;33;0;162;152;100;40
Rodrigo;VAL;2;17;86;11;13;10;0;106;135;35;45
Rodrigo Ely;ALA;34;51;129;177;18;14;0;49;39;114;51
Roger;LEV;0;1;34;5;4;4;0;34;44;10;24
Roger Martínez;VIL;0;0;7;1;1;0;0;17;17;5;5
Rolón;MGA;1;9;22;8;4;2;0;14;18;3;5
Ronaldo;RMA;3;6;51;14;4;3;0;56;69;34;29
Roque Mesa;SEV;2;0;21;4;10;3;0;22;14;1;3
Rubén;DEP;0;1;207;10;0;1;1;5;2;6;1
Rubén Blanco;CEL;0;3;157;27;0;0;0;0;3;6;0
Rubén Castro;BET;0;0;10;1;1;0;0;6;6;2;4
Rubén Pardo;RSO;0;5;24;1;0;1;0;5;6;3;0
Rubén Peña;EIB;6;30;130;22;28;13;1;78;73;15;21
Rubén Pérez J.;LEG;5;77;311;39;61;38;0;171;119;40;27
Rukavina;VIL;3;16;59;57;22;3;0;29;28;9;11
Rulli;RSO;0;0;210;17;1;1;0;3;6;2;0
Ryad Boudebouz;BET;1;7;65;7;18;14;0;87;93;6;22
Róber;LEV;18;42;125;73;22;13;0;48;41;18;25
Rúben Semedo;VIL;1;5;10;13;5;1;0;8;8;7;3
S. Asenjo ;VIL;0;0;208;20;2;0;0;4;6;9;1
S. Castillejo;VIL;5;22;121;21;28;12;0;153;193;15;43
S. García;ESP;3;9;65;10;12;3;0;71;102;17;34
S. Sánchez;ESP;0;3;2;3;3;1;0;4;3;2;0
Sabin Merino;ATH;2;1;25;8;3;4;0;15;20;12;13
Saborit;ATH;5;23;86;49;27;23;0;66;38;22;11
Sadiku;LEV;2;2;9;2;1;0;0;4;9;10;28
Salem;VIL;0;0;7;0;0;1;0;2;4;0;0
Samuel;MGA;0;7;18;5;13;4;0;25;43;4;9
Samuel Umtiti;BAR;17;36;141;71;35;15;0;83;36;46;22
San José;ATH;13;41;151;30;37;15;0;79;123;68;58
Sanabria;BET;0;4;20;6;8;0;0;29;28;23;36
Sandro;SEV;0;4;25;2;8;0;0;40;46;4;9
Sansone;VIL;0;1;31;2;4;4;0;29;37;2;7
Santi Mina;VAL;1;2;50;18;9;8;0;70;95;37;57
Savić;ATM;23;45;115;146;20;10;1;42;46;46;21
Saúl;ATM;12;55;237;73;90;42;0;225;191;76;101
Saša Lukić;LEV;6;17;60;11;16;5;0;51;52;12;14
Serantes;LEG;0;0;12;0;0;0;0;0;0;0;1
