Nombre;Equipo;Cen.;Cor.;Ent.;Due.;D.C.;D.A.;Pas.;P.C.;P.L.;P.H.;GxT;GxT F.A.;GxT D.A.;GxT Iz.;GxT Der.;GxT Cab.;GxT B.P.
Jefferson Lerma;LEV;2;0;52;346;210;136;1.092;990;98;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jesús Navas;SEV;93;2;32;164;128;36;782;700;80;2;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Jesús Vallejo;RMA;0;0;8;41;21;20;366;317;49;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Joan Jordán;EIB;53;66;31;317;245;72;1.181;1.034;144;3;4,8;0,0;0,0;0,0;0,0;0,0;0,0
Joaquín;BET;56;60;22;274;226;48;1.233;1.128;96;9;2,7;0,0;0,0;0,0;0,0;0,0;0,0
Johannes Geis;SEV;8;1;20;55;42;13;365;309;56;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jon Bautista;RSO;0;0;0;26;9;17;35;34;1;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Jon Guridi;RSO;0;0;1;5;4;1;23;22;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jonny;CEL;51;0;102;415;344;71;1.743;1.594;144;5;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Jony;MGA;27;10;3;35;34;1;69;63;5;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jordi Alba;BAR;46;1;63;227;191;36;2.102;2.000;100;2;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Jordi Amat;BET;0;0;33;175;115;60;1.598;1.442;156;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jorge Molina;GET;17;0;18;532;272;260;834;796;29;9;2,7;0,0;0,0;0,0;0,0;0,0;0,0
Jose Arnáiz;BAR;0;0;1;1;1;0;4;4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
José Lara;SEV;0;0;0;2;2;0;4;3;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jozabed;CEL;6;2;18;96;82;14;876;786;85;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juan Cruz;MGA;0;0;2;3;3;0;3;3;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juanfran;ATM;36;0;33;127;112;15;504;476;27;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juanfran;DEP;160;2;64;314;241;73;1.405;1.213;191;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juanjo Narváez;BET;6;0;8;45;38;7;155;141;12;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juankar;MGA;24;0;23;78;61;17;316;276;39;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juanmi;RSO;5;0;22;159;130;29;348;332;16;0;5,7;0,0;0,0;0,0;0,0;0,0;0,0
Juanpe;GIR;4;0;48;215;120;95;1.335;999;336;0;4,5;0,0;0,0;0,0;0,0;0,0;0,0
Juanpi;MGA;7;7;11;105;88;17;209;188;19;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Julio Gracia;BET;1;0;0;3;2;1;21;19;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Juncà;EIB;63;8;15;73;62;11;463;381;81;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Jurado;ESP;23;1;18;156;151;5;607;559;46;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Keko;MGA;41;0;38;204;180;24;343;317;26;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kepa;ATH;0;0;0;17;7;10;937;223;714;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kevin Soni;GIR;0;0;1;5;4;1;5;5;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Keylor Navas;RMA;0;0;2;11;7;4;570;332;238;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Kike;EIB;15;0;14;439;196;243;688;666;22;0;3,4;0,0;0,0;0,0;0,0;0,0;0,0
Kiko Casilla;RMA;0;0;1;3;1;2;219;125;94;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Koke;ATM;62;97;75;326;299;27;1.989;1.777;197;15;2,2;0,0;0,0;0,0;0,0;0,0;0,0
Kondogbia;VAL;3;0;88;440;357;83;1.548;1.372;172;4;3,5;0,0;0,0;0,0;0,0;0,0;0,0
Kovačić;RMA;4;1;38;145;137;8;791;741;49;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Krohn-Dehli;DEP;12;19;25;112;93;19;700;646;52;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Kévin Rodrigues;RSO;70;1;44;171;132;39;702;661;41;0;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Lacen;MGA;8;0;38;143;113;30;502;448;54;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Laguardia;ALA;2;0;20;109;42;67;558;374;184;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Lato;VAL;10;0;30;94;74;20;329;292;37;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Llorente R.;RSO;3;0;30;242;122;120;1.521;1.314;207;0;2,3;0,0;0,0;0,0;0,0;0,0;0,0
Lobotka;CEL;10;0;64;332;272;60;2.069;1.902;165;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Loren;BET;4;0;14;186;139;47;189;177;9;3;3,4;0,0;0,0;0,0;0,0;0,0;0,0
Lozano;GIR;8;0;9;110;65;45;119;116;3;0;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Loïc Remy;GET;12;0;8;158;104;54;349;327;21;1;5,0;0,0;0,0;0,0;0,0;0,0;0,0
Lucas Boyé;CEL;10;0;12;65;55;10;116;113;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lucas Digne;BAR;15;0;22;69;51;18;480;462;18;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lucas Hernández;ATM;17;0;93;312;233;79;916;816;99;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Lucas Pérez;DEP;81;111;17;235;214;21;808;736;65;7;4,7;0,0;0,0;0,0;0,0;0,0;0,0
Lucas Vázquez;RMA;78;20;48;282;260;22;894;849;44;1;2,8;0,0;0,0;0,0;0,0;0,0;0,0
Luis H. ;MGA;8;0;49;210;119;91;1.413;1.117;295;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Luis Muriel;SEV;17;2;16;241;166;75;421;410;7;4;2,7;0,0;0,0;0,0;0,0;0,0;0,0
Luis Suárez;BAR;12;1;17;288;266;22;1.055;977;67;11;8,5;0,0;0,0;0,0;0,0;0,0;0,0
Luisinho;DEP;88;0;111;350;308;42;1.182;1.012;169;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Léo Baptistão;ESP;34;0;54;412;302;110;686;655;26;5;3,2;0,0;0,0;0,0;0,0;0,0;0,0
M. Guerrero;LEG;1;0;7;198;114;84;370;362;7;1;1,1;0,0;0,0;0,0;0,0;0,0;0,0
M. Gómez;CEL;16;0;7;414;221;193;630;589;40;1;8,3;0,0;0,0;0,0;0,0;0,0;0,0
M. M. Dos Santos;LEG;3;0;16;72;38;34;308;240;68;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
M. Navarro;ESP;61;0;20;122;88;34;392;331;60;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
M. Trigueros;VIL;52;53;61;323;271;52;1.816;1.630;177;9;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Maksím Kóval;DEP;0;0;0;1;1;0;39;9;30;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mantovani;LEG;0;0;12;106;45;61;377;319;58;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Manu García;ALA;12;0;97;475;342;133;984;857;125;2;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Marc Roca;ESP;0;1;8;23;19;4;168;146;22;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Marcelo;RMA;154;11;53;269;234;35;1.608;1.424;180;4;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Marco Asensio;RMA;75;50;26;154;148;6;1.133;1.077;47;9;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Marcos Llorente;RMA;1;0;15;62;43;19;429;400;29;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mario Gaspar;VIL;60;0;109;353;257;96;1.441;1.287;153;1;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Markel Bergara;GET;5;0;34;169;108;61;385;359;26;0;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Mathieu Flamini;GET;3;0;11;49;32;17;143;128;15;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mathías Olivera;GET;1;0;3;29;11;18;29;25;4;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Matías Aguirregaray;LPA;19;0;25;151;120;31;549;472;75;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mauro Arambarri;GET;6;0;56;279;230;49;618;468;147;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Maxime Lestienne;MGA;26;8;8;57;52;5;200;183;17;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mazan;CEL;3;0;0;6;5;1;74;68;6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Melendo;ESP;5;2;2;67;52;15;257;236;19;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Messi;BAR;26;44;17;512;493;19;1.883;1.735;111;37;7,5;0,0;0,0;0,0;0,0;0,0;0,0
Michel Macedo;LPA;65;0;34;223;160;63;914;841;71;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Miguel Layún;SEV;44;11;28;107;81;26;511;436;74;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Miguel Torres;MGA;4;0;16;45;33;12;251;213;38;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Miguel Ángel Rubio;GET;0;0;0;6;2;4;10;8;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mikel Oyarzabal;RSO;32;60;33;367;286;81;907;852;53;2;7,4;0,0;0,0;0,0;0,0;0,0;0,0
Mikel Rico;ATH;11;1;24;138;120;18;535;478;56;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Miquel;MGA;2;0;19;188;95;93;692;506;185;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Modrić;RMA;14;6;33;212;193;19;1.547;1.378;158;11;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Mojica;GIR;147;1;42;341;278;63;774;696;77;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Molinero;GET;11;0;13;68;55;13;197;162;35;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Momo;LPA;24;12;14;81;69;12;356;325;29;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Montoya;VAL;51;1;66;257;198;59;984;892;92;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Morales;LEV;133;18;37;462;417;45;792;716;68;8;6,6;0,0;0,0;0,0;0,0;0,0;0,0
Moyà;RSO;0;0;0;4;2;2;337;152;185;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Mujaid Sadick;DEP;1;0;4;7;6;1;40;38;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Muniain ;ATH;10;5;10;112;107;5;429;392;32;5;2,3;0,0;0,0;0,0;0,0;0,0;0,0
Muniesa;GIR;1;0;33;118;75;43;630;524;106;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Munir;ALA;49;35;25;412;311;101;627;593;31;3;4,6;0,0;0,0;0,0;0,0;0,0;0,0
Murillo;VAL;0;0;31;143;71;72;751;654;96;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Muñoz;LEG;1;0;36;131;67;64;495;419;76;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
N'Zonzi;SEV;10;0;39;243;118;125;1.850;1.763;87;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
N. Semedo;BAR;15;0;34;164;150;14;978;917;60;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nacho;RMA;24;0;55;207;142;65;1.109;1.033;75;1;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Nacho Gil;LPA;12;36;16;142;123;19;333;318;15;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nahuel;BET;5;0;5;40;37;3;117;111;6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Naldo;ESP;0;0;14;72;28;44;432;370;62;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nano;LEV;0;0;7;38;28;10;57;56;1;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nemanja Maksimovic;VAL;5;0;21;81;51;30;252;232;20;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Neto;VAL;0;0;1;12;5;7;668;167;501;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Nolito;SEV;17;20;49;236;203;33;606;554;43;9;2,3;0,0;0,0;0,0;0,0;0,0;0,0
O. Duarte;ESP;1;0;12;81;32;49;481;363;118;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Oblak ;ATM;0;0;0;13;7;6;799;187;612;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Oier;LEV;0;0;0;15;9;6;648;120;528;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Olunga;GIR;3;0;6;78;30;48;109;108;1;0;0,8;0,0;0,0;0,0;0,0;0,0;0,0
Omar R.;LEG;56;24;22;202;167;35;426;377;46;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Orellana;EIB;39;23;14;244;206;38;469;430;38;1;1,7;0,0;0,0;0,0;0,0;0,0;0,0
P. Hernández ;CEL;7;0;48;378;240;138;1.230;1.088;138;4;1,5;0,0;0,0;0,0;0,0;0,0;0,0
P. León;EIB;67;68;9;108;79;29;286;257;29;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
P. Mosquera;DEP;11;0;48;204;147;57;707;581;125;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pablo Fornals;VIL;23;9;52;313;248;65;1.326;1.190;119;17;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Pablo Maffeo;GIR;112;2;74;356;258;98;851;734;116;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pablo Sarabia;SEV;77;45;27;280;237;43;1.008;946;54;8;2,9;0,0;0,0;0,0;0,0;0,0;0,0
Pacheco;GET;14;6;4;15;13;2;80;69;10;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pacheco;ALA;0;0;0;8;2;6;952;141;811;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pareja;SEV;0;0;11;44;25;19;228;184;43;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pau López;ESP;0;0;0;13;4;9;682;152;530;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Paulinho;BAR;3;0;39;268;200;68;1.219;1.177;39;3;7,3;0,0;0,0;0,0;0,0;0,0;0,0
Paulo;EIB;1;0;41;209;76;133;888;662;225;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pazzini;LEV;1;0;0;53;36;17;65;61;3;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Pedraza;ALA;76;1;56;335;289;46;595;541;53;1;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Pedro López;LEV;53;0;33;154;122;32;576;504;72;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Pere Pons;GIR;3;0;80;391;323;68;1.025;932;89;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Peñalba;LPA;0;0;6;58;36;22;380;354;24;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Peñaranda;MGA;5;0;10;189;125;64;242;236;6;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Piatti;ESP;84;63;45;320;251;69;521;487;33;1;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Piqué;BAR;2;0;31;203;109;94;1.852;1.634;218;0;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Planas;GIR;7;0;5;15;11;4;83;77;5;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Portillo;GET;26;8;39;311;256;55;970;886;69;15;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Portu;GIR;72;0;30;448;348;100;587;564;18;5;7,5;0,0;0,0;0,0;0,0;0,0;0,0
Postigo;LEV;3;0;36;152;89;63;952;739;211;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
R. Albentosa;DEP;2;0;13;115;56;59;769;591;177;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Radoja;CEL;4;0;18;112;78;34;606;576;30;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rafa Navarro;BET;2;0;3;21;17;4;74;70;4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rakitić;BAR;18;49;52;268;219;49;2.495;2.285;199;11;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Ramalho;GIR;7;0;25;151;85;66;877;689;188;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ramis ;EIB;1;0;20;140;53;87;696;539;157;0;2,3;0,0;0,0;0,0;0,0;0,0;0,0
Raúl C.;LEG;58;17;34;128;99;29;476;394;81;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Raúl García;ATH;40;0;81;543;319;224;847;759;79;9;3,9;0,0;0,0;0,0;0,0;0,0;0,0
Raúl Lizoain;LPA;0;0;1;7;7;0;318;180;138;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Raúl Navas;RSO;1;0;22;126;63;63;1.218;1.012;204;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Recio;MGA;33;40;54;279;234;45;952;850;97;5;0,3;0,0;0,0;0,0;0,0;0,0;0,0
Ricca;MGA;32;0;43;129;85;44;434;354;80;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rico;LEG;103;26;68;268;217;51;924;775;149;0;0,6;0,0;0,0;0,0;0,0;0,0;0,0
Riesgo;EIB;0;0;0;2;0;2;31;0;31;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rivera;EIB;0;0;13;24;22;2;132;119;13;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Riza Durmisi;BET;66;3;39;118;95;23;825;746;78;1;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Roberto;MGA;0;0;0;17;1;16;908;149;759;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Roberto Rosales ;MGA;125;44;104;357;260;97;1.410;1.198;212;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Roberto Soriano;VIL;17;3;30;186;149;37;484;468;13;3;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rochina;LEV;1;0;8;31;29;2;81;72;9;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Rodri;VIL;5;0;104;454;314;140;2.470;2.253;214;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Rodrigo;VAL;26;2;23;321;241;80;892;820;60;12;8,6;0,0;0,0;0,0;0,0;0,0;0,0
Rodrigo Ely;ALA;1;0;32;253;88;165;1.027;753;272;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Roger;LEV;6;0;8;112;78;34;189;175;12;2;2,5;0,0;0,0;0,0;0,0;0,0;0,0
Roger Martínez;VIL;2;0;1;44;34;10;60;55;5;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Rolón;MGA;1;0;6;40;32;8;136;124;11;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ronaldo;RMA;34;4;7;188;125;63;732;705;22;5;5,0;0,0;0,0;0,0;0,0;0,0;0,0
Roque Mesa;SEV;1;1;13;40;36;4;220;202;18;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rubén;DEP;0;0;1;14;7;7;602;157;445;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rubén Blanco;CEL;0;0;0;9;3;6;736;277;459;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rubén Castro;BET;0;0;1;18;12;6;58;53;3;2;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Rubén Pardo;RSO;4;5;1;14;11;3;132;115;16;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rubén Peña;EIB;70;0;41;187;151;36;726;601;125;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Rubén Pérez J.;LEG;2;0;99;357;290;67;1.489;1.159;325;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rukavina;VIL;27;0;25;77;57;20;464;407;56;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rulli;RSO;0;0;2;11;9;2;996;545;451;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Ryad Boudebouz;BET;31;23;32;208;180;28;803;740;59;4;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Róber;LEV;3;0;35;132;89;43;671;566;105;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rúben Semedo;VIL;0;0;6;26;16;10;88;81;7;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
S. Asenjo ;VIL;0;0;2;20;10;10;535;149;386;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
S. Castillejo;VIL;52;73;40;404;346;58;885;812;66;7;3,1;0,0;0,0;0,0;0,0;0,0;0,0
S. García;ESP;19;0;15;224;173;51;427;400;26;1;0,8;0,0;0,0;0,0;0,0;0,0;0,0
S. Sánchez;ESP;1;0;4;9;7;2;27;23;4;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sabin Merino;ATH;4;0;8;60;35;25;89;87;2;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Saborit;ATH;36;0;50;137;104;33;527;460;67;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sadiku;LEV;1;0;1;51;13;38;69;66;3;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Salem;VIL;0;0;1;6;6;0;17;17;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Samuel;MGA;12;0;17;81;68;13;101;94;6;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Samuel Umtiti;BAR;0;0;50;187;119;68;1.618;1.495;123;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
San José;ATH;11;0;52;328;202;126;1.010;899;104;7;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Sanabria;BET;2;0;8;116;57;59;170;166;4;0;3,4;0,0;0,0;0,0;0,0;0,0;0,0
Sandro;SEV;8;10;8;99;86;13;237;227;9;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sansone;VIL;12;9;8;75;66;9;217;206;10;1;3,3;0,0;0,0;0,0;0,0;0,0;0,0
Santi Mina;VAL;6;0;17;259;165;94;466;441;23;2;8,0;0,0;0,0;0,0;0,0;0,0;0,0
Savić;ATM;3;0;30;155;88;67;988;776;212;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Saúl;ATM;19;0;132;593;416;177;1.690;1.571;115;4;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Saša Lukić;LEV;5;0;21;129;103;26;337;306;29;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Serantes;LEG;0;0;0;1;0;1;32;1;31;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergi Enrich;EIB;5;0;11;245;97;148;420;402;18;0;1,1;0,0;0,0;0,0;0,0;0,0;0,0
Sergi Gómez;CEL;3;0;52;187;88;99;1.652;1.419;232;1;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Sergi Roberto;BAR;34;0;63;256;219;37;1.617;1.544;70;3;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergio;BAR;0;0;86;341;263;78;2.241;2.053;182;6;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergio A.;CEL;0;0;0;13;4;9;575;253;322;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergio León;BET;8;1;13;240;163;77;369;336;31;2;7,2;0,0;0,0;0,0;0,0;0,0;0,0
Sergio Mora;GET;4;0;21;89;62;27;395;357;38;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sergio Ramos;RMA;9;0;40;246;111;135;1.887;1.648;234;5;1,8;0,0;0,0;0,0;0,0;0,0;0,0
Sergio Rico;SEV;0;0;1;19;5;14;549;209;340;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sidnei;DEP;4;0;41;162;93;69;764;622;140;2;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Simon Kjaer;SEV;1;0;35;136;67;69;788;680;108;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Simone Zaza;VAL;9;0;21;353;193;160;451;424;24;3;6,2;0,0;0,0;0,0;0,0;0,0;0,0
Siovas;LEG;2;0;48;213;116;97;729;584;145;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Sisto;CEL;64;26;18;360;344;16;980;877;97;6;3,3;0,0;0,0;0,0;0,0;0,0;0,0
Sivera;ALA;0;0;0;0;0;0;13;0;13;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sobrino;ALA;13;0;33;319;190;129;389;377;12;0;1,3;0,0;0,0;0,0;0,0;0,0;0,0
Stuani;GIR;4;0;22;499;239;260;493;479;13;1;9,4;0,0;0,0;0,0;0,0;0,0;0,0
Success;MGA;10;0;9;114;104;10;133;118;11;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Sulley Muntari;DEP;5;0;9;53;35;18;141;112;28;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Susaeta;ATH;74;86;42;312;278;34;848;779;67;2;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Szymanowski;LEG;30;12;14;100;92;8;270;260;10;0;1,0;0,0;0,0;0,0;0,0;0,0;0,0
T. Pina;ALA;6;0;71;341;231;110;969;881;86;2;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Tana;LPA;18;39;30;201;179;22;772;736;33;3;0,5;0,0;0,0;0,0;0,0;0,0;0,0
Tello;BET;20;5;33;187;177;10;683;644;34;5;3,0;0,0;0,0;0,0;0,0;0,0;0,0
Ter Stegen;BAR;0;0;1;7;4;3;1.110;667;443;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Theo Hernández;RMA;30;0;21;133;120;13;551;534;16;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Thomas;ATM;15;5;95;368;279;89;1.378;1.222;151;5;2,0;0,0;0,0;0,0;0,0;0,0;0,0
Timor;GIR;3;0;17;99;62;37;464;387;77;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0
Tito L. R.;LEG;15;0;8;47;37;10;221;182;39;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Toni Kroos;RMA;48;132;55;215;197;18;2.070;1.871;190;9;3,3;0,0;0,0;0,0;0,0;0,0;0,0
Toño;LEV;43;0;12;78;70;8;425;349;74;2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Toño Ramírez;RSO;0;0;0;2;1;1;120;59;61;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Tytoń;DEP;0;0;0;0;0;0;26;10;16;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Unai Núñez;ATH;3;0;73;303;186;117;1.465;1.148;316;1;1,0;0,0;0,0;0,0;0,0;0,0;0,0
Varane;RMA;1;0;28;157;79;78;1.330;1.183;147;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Vermaelen;BAR;2;0;13;63;33;30;644;576;67;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Vesga;ATH;9;5;17;134;92;42;389;358;31;0;0,3;0,0;0,0;0,0;0,0;0,0;0,0
