Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Santi Mina;VAL;4;0;0;11;36;24;1;0;1;5,0
Savić;ATM;6;0;0;0;8;24;0;0;0;11,0
Saúl;ATM;9;0;0;5;35;67;1;0;4;28,0
Saša Lukić;LEV;4;0;0;0;15;24;0;1;3;5,0
Serantes;LEG;0;0;0;0;0;0;0;0;0;0,0
Sergi Enrich;EIB;2;0;0;20;28;20;2;0;3;3,0
Sergi Gómez;CEL;3;0;0;2;6;14;0;0;0;4,0
Sergi Roberto;BAR;3;2;0;1;26;16;0;0;1;6,0
Sergio;BAR;8;0;0;0;58;36;1;0;2;13,0
Sergio A.;CEL;0;0;0;0;5;0;0;0;0;0,0
Sergio León;BET;5;0;0;11;39;25;0;0;1;9,0
Sergio Mora;GET;5;0;0;0;6;15;0;0;0;5,0
Sergio Ramos;RMA;7;0;2;6;20;37;0;0;4;20,0
Sergio Rico;SEV;2;0;0;0;3;1;0;1;0;0,0
Sidnei;DEP;4;0;0;0;11;12;0;0;0;7,0
Simon Kjaer;SEV;3;0;0;0;9;18;0;0;0;4,0
Simone Zaza;VAL;8;0;1;16;32;41;1;0;3;18,0
Siovas;LEG;8;0;1;2;15;28;0;0;0;19,0
Sisto;CEL;2;0;0;10;74;15;0;0;3;1,0
Sivera;ALA;0;0;0;0;0;0;0;0;0;0,0
Sobrino;ALA;5;0;0;6;32;37;0;0;0;8,0
Stuani;GIR;8;0;0;22;67;88;1;0;3;25,0
Success;MGA;0;0;0;6;26;15;0;0;0;0,0
Sulley Muntari;DEP;3;0;0;0;7;11;0;0;0;8,0
Susaeta;ATH;2;0;0;10;50;20;1;0;0;2,0
Szymanowski;LEG;1;0;0;8;18;19;1;0;3;3,0
T. Pina;ALA;8;0;0;1;29;72;0;0;3;24,0
Tana;LPA;2;0;0;0;36;11;0;0;0;2,0
Tello;BET;2;0;0;10;20;14;0;0;1;3,0
Ter Stegen;BAR;0;0;0;0;1;0;0;0;0;0,0
Theo Hernández;RMA;1;0;0;1;15;11;1;0;0;0,0
Thomas;ATM;6;0;0;0;35;40;0;0;3;11,0
Timor;GIR;8;0;0;0;10;16;0;0;0;12,0
Tito L. R.;LEG;0;0;0;0;6;8;0;0;0;0,0
Toni Kroos;RMA;4;0;0;2;38;21;0;0;0;6,0
Toño;LEV;2;0;0;0;8;6;0;1;1;3,0
Toño Ramírez;RSO;0;0;0;0;0;0;0;0;0;0,0
Tytoń;DEP;0;0;0;0;0;0;0;0;0;0,0
Unai Núñez;ATH;11;0;0;0;24;42;0;0;1;21,0
Varane;RMA;2;0;0;0;12;19;0;0;1;2,0
Vermaelen;BAR;3;0;0;1;3;9;0;0;0;4,0
Vesga;ATH;6;0;0;0;11;16;0;0;0;12,0
Vezo;VAL;1;0;1;1;13;23;0;0;1;5,0
Vicente Gómez;LPA;3;0;0;0;29;22;0;0;1;5,0
Viera;LPA;4;0;0;3;69;21;2;0;2;5,0
Vietto ;VAL;2;0;0;8;14;9;0;0;0;3,0
Vigaray;ALA;6;0;0;0;13;18;0;0;0;13,0
Vitolo;ATM;1;1;0;5;51;24;1;0;1;5,0
Vrsaljko;ATM;6;0;0;3;12;30;0;0;1;14,0
Víctor López;ALA;0;0;0;1;0;0;0;0;0;0,0
Víctor Ruiz;VIL;9;0;1;0;6;28;0;1;2;17,0
Víctor S.;ESP;13;0;0;0;50;72;0;0;1;34,0
Wakaso;ALA;7;0;0;3;22;31;0;2;2;20,0
Wass;CEL;4;0;0;11;53;26;0;0;2;5,0
Williams;ATH;2;0;0;26;41;31;0;0;2;2,0
Willian José;RSO;4;0;0;21;53;31;0;1;1;6,0
Xabi Prieto;RSO;1;0;0;4;32;15;0;0;2;1,0
Ximo;LPA;11;0;0;0;51;28;0;1;2;12,0
Yeray;ATH;2;0;0;0;10;12;0;0;0;1,0
Yerry Mina ;BAR;2;0;0;1;6;6;0;0;0;5,0
Yoel;EIB;0;0;0;0;0;0;0;0;0;0,0
Zaldúa;LEG;9;1;0;2;62;43;0;0;2;17,0
Zdravko Kuzmanovic;MGA;0;0;2;0;2;7;0;0;0;3,0
Zurutuza;RSO;2;0;0;1;47;44;0;0;2;4,0
Álvaro ;VIL;13;0;1;3;30;32;0;0;1;17,0
Álvaro Jiménez;GET;3;0;1;0;25;12;0;0;1;8,0
Álvaro Medrán;ALA;2;0;0;2;14;23;0;0;2;5,0
Álvaro Odriozola;RSO;3;0;0;9;31;25;0;1;1;6,0
Ángel ;GET;6;0;0;32;36;48;2;0;4;14,0
Ángel Correa;ATM;3;0;1;6;49;47;0;0;2;6,0
