Nombre;Equipo;Am.;Roj.;Dob.;F. J.;Faltas R.;Faltas C.;Pen. R.;Pen. C.;Manos;FxT
Coke;LEV;4;0;1;4;12;27;0;0;1;11,0
Corchia;SEV;4;0;0;3;22;20;0;1;1;13,0
Correa;SEV;5;0;0;5;43;26;1;0;1;9,0
Cote;EIB;4;0;0;1;17;20;0;0;3;8,0
Coutinho;BAR;1;0;0;8;32;12;0;0;0;4,0
Cuéllar;LEG;4;0;0;0;7;0;0;0;0;0,0
D. Torres;ALA;2;0;0;0;15;23;0;0;3;7,0
Dakonam Djené;GET;7;0;0;1;26;51;1;1;0;16,0
Damián Suárez;GET;14;1;0;1;41;54;0;1;0;30,0
Dani Castellano;LPA;5;0;0;4;30;17;0;0;1;6,0
Dani Ceballos;RMA;0;0;0;0;15;7;0;0;0;0,0
Dani García;EIB;14;0;0;0;25;46;0;1;1;21,0
Dani Giménez;BET;0;0;0;0;1;0;0;0;0;0,0
Dani Parejo;VAL;15;1;0;2;67;47;0;0;1;32,0
Darder;ESP;7;0;0;0;31;36;0;0;0;6,0
Darko;LEG;3;0;0;3;20;19;0;0;0;7,0
David Alba;GET;0;0;0;0;0;3;0;0;0;0,0
David García;LPA;2;0;0;0;14;11;0;0;1;3,0
David Lombán;EIB;3;0;0;1;5;9;0;0;0;3,0
David López;ESP;6;0;0;2;25;45;0;2;4;13,0
David Simón;LPA;3;0;0;1;11;17;0;0;0;6,0
David Soria;SEV;1;0;0;0;1;0;0;0;0;0,0
De la Bella;RSO;4;0;0;6;17;20;0;0;0;8,0
De Marcos;ATH;5;0;0;4;10;17;1;0;2;5,0
Dembélé;BAR;2;0;0;3;18;10;0;1;0;3,0
Denis Suárez;BAR;1;0;0;0;10;6;0;0;0;0,0
Diego Costa;ATM;6;0;1;19;19;22;1;0;1;9,0
Diego González;MGA;5;0;0;1;3;27;0;1;2;13,0
Diego López;ESP;1;0;0;0;1;1;0;0;1;1,0
Diego Rolan;MGA;0;0;0;19;48;28;1;0;5;0,0
Diop;EIB;7;0;0;0;26;36;0;0;1;16,0
Diéguez;ALA;5;0;0;0;1;17;0;1;1;16,0
Dmitrović;EIB;1;0;0;0;5;0;0;0;0;0,0
Douglas Luiz;GIR;4;0;0;0;8;13;0;0;2;4,0
Duarte;ALA;8;0;1;1;35;48;0;2;1;19,0
Dídac;ESP;3;0;0;1;13;14;0;0;1;1,0
El Zhar;LEG;2;0;0;5;35;30;0;0;4;2,0
Eloi Amagat;GIR;0;0;0;0;0;0;0;0;0;0,0
Emiliano Martínez;GET;0;0;0;0;1;0;0;0;0;0,0
Emre Mor;CEL;4;0;0;2;22;10;0;0;1;5,0
Emre Çolak;DEP;4;0;0;2;24;20;0;0;2;7,0
Enes Ünal;VIL;1;0;0;13;35;42;0;0;3;2,0
Enis Bardhi;LEV;9;0;0;3;25;39;0;0;0;21,0
Eraso;LEG;4;0;0;6;25;35;0;0;2;3,0
Erick Cabaco;LEV;5;0;0;0;12;13;1;0;0;7,0
Erik Exposito;LPA;0;0;0;2;3;5;0;0;1;0,0
Escalante;EIB;3;0;0;0;16;25;0;0;3;6,0
Escudero;SEV;10;0;0;1;38;34;0;0;1;16,0
Etebo;LPA;3;0;0;1;46;21;0;0;0;5,0
Etxeita;ATH;2;0;0;0;2;10;0;0;0;7,0
Ezequiel Garay;VAL;5;0;0;1;15;22;0;0;0;10,0
Fabian Schär;DEP;10;0;0;3;22;39;0;0;0;21,0
Fabián;BET;3;0;0;2;35;27;0;0;1;5,0
Facundo Roncaglia;CEL;2;0;0;1;8;15;0;1;0;2,0
Fahad Al-Muwallad;LEV;0;0;0;0;0;1;0;0;0;0,0
Fajr ;GET;6;0;0;1;37;46;0;0;1;12,0
Feddal;BET;7;0;0;1;16;20;0;0;0;11,0
Fede Cartabia;DEP;6;0;0;4;47;23;1;0;3;10,0
Fede Valverde;DEP;0;0;0;1;3;14;0;1;0;0,0
Fernando Navarro;DEP;5;0;0;0;12;19;0;0;0;9,0
Fernando Torres;ATM;2;0;0;10;23;17;0;0;1;4,0
Ferrán Torres;VAL;0;0;0;0;6;4;0;0;1;0,0
Filipe Luis;ATM;4;0;0;1;27;16;0;1;0;8,0
Fontàs;CEL;2;0;0;0;0;7;0;0;0;3,0
Francesc Regis;EIB;0;0;0;0;0;0;0;0;0;0,0
Francis Coquelin;VAL;2;0;0;1;7;13;0;0;0;6,0
Franco Vázquez;SEV;4;0;0;9;61;47;0;2;0;4,0
G. Cabral;CEL;5;0;0;2;4;14;0;1;1;6,0
Gabi;ATM;8;0;0;1;23;51;0;1;0;19,0
Gabriel;LEG;6;1;0;1;51;56;1;0;0;14,0
Gabriel;VAL;5;0;1;0;19;23;0;1;1;8,0
Gabriel Mercado;SEV;9;0;0;6;16;36;1;1;1;17,0
Gaku Shibasaki;GET;1;0;0;5;13;27;0;0;0;1,0
Gameiro;ATM;0;0;0;12;9;9;0;0;0;0,0
Ganso;SEV;0;0;0;0;11;5;0;0;0;0,0
Gayá;VAL;11;0;0;5;45;35;2;0;4;20,0
Gerard;DEP;0;0;0;0;1;2;0;0;0;0,0
Gerard;ESP;4;0;0;36;78;56;1;0;5;12,0
Giménez;ATM;6;0;0;2;18;15;0;0;1;5,0
Godín;ATM;6;0;0;5;26;46;0;1;1;12,0
Gonçalo Guedes;VAL;2;0;0;10;70;35;0;0;2;3,0
Granell;GIR;10;0;0;0;39;70;0;0;1;21,0
Granero;ESP;5;0;0;1;21;19;1;1;0;8,0
Griezmann;ATM;6;1;0;26;44;24;1;0;1;6,5
Guaita;GET;1;0;0;0;4;0;0;0;0;0,0
Guardado;BET;7;0;0;2;39;31;0;0;0;15,0
Guidetti;ALA;3;0;0;11;16;33;0;1;3;6,0
Guido Pizarro;SEV;9;0;0;0;26;48;0;0;0;26,0
Guilherme ;DEP;11;0;0;0;46;56;0;0;2;22,0
