Nombre;Equipo;Min.;Jug.;%;Ent.;%;Tit.;%;Sust.;%;Am.;Roj.;Dob.;Gol;Pen.;G.P.P.;Enc.
Portu;GIR;3010003.010;37;97%;16;42%;35;92%;21;55%;5;0;0;11;0;0;51
Postigo;LEV;2426002.426;30;79%;24;63%;27;71%;6;16%;6;0;0;1;0;1;39
R. Albentosa;DEP;1749001.749;20;53%;18;47%;19;50%;2;5%;5;0;0;1;0;0;34
Radoja;CEL;1097001.097;26;68%;4;11%;11;29%;22;58%;3;0;0;0;0;0;24
Rafa Navarro;BET;13300133;3;8%;0;0%;1;3%;3;8%;0;0;0;0;0;0;2
Rakitić;BAR;2838002.838;35;92%;24;63%;31;82%;11;29%;4;0;0;1;0;0;22
Ramalho;GIR;2297002.297;26;68%;25;66%;25;66%;1;3%;3;0;0;0;0;1;42
Ramis ;EIB;1303001.303;16;42%;12;32%;15;39%;4;11%;4;0;0;3;0;0;14
Raúl C.;LEG;1388001.388;19;50%;15;39%;15;39%;4;11%;1;0;0;0;0;0;24
Raúl García;ATH;2637002.637;34;89%;17;45%;30;79%;17;45%;10;0;0;10;3;0;34
Raúl Lizoain;LPA;99000990;11;29%;11;29%;11;29%;0;0%;0;0;0;0;0;0;27
Raúl Navas;RSO;1792001.792;20;53%;19;50%;20;53%;1;3%;4;0;0;0;0;0;30
Recio;MGA;1841001.841;22;58%;16;42%;21;55%;6;16%;9;1;1;1;1;0;30
Ricca;MGA;1111001.111;14;37%;10;26%;13;34%;4;11%;4;0;0;0;0;0;22
Rico;LEG;2228002.228;26;68%;24;63%;26;68%;2;5%;8;1;1;2;0;0;32
Riesgo;EIB;900090;1;3%;1;3%;1;3%;0;0%;0;0;0;0;0;0;1
Rivera;EIB;24100241;7;18%;2;5%;2;5%;5;13%;0;0;0;0;0;0;9
Riza Durmisi;BET;2080002.080;24;63%;22;58%;23;61%;2;5%;4;0;0;2;0;0;48
Roberto;MGA;3060003.060;34;89%;34;89%;34;89%;0;0%;0;0;0;0;0;0;51
Roberto Rosales ;MGA;3125003.125;35;92%;33;87%;35;92%;2;5%;10;0;0;1;0;0;53
Roberto Soriano;VIL;1135001.135;22;58%;4;11%;11;29%;18;47%;3;0;0;0;0;0;18
Rochina;LEV;14800148;5;13%;0;0%;1;3%;5;13%;0;1;0;1;0;0;5
Rodri;VIL;3228003.228;37;97%;34;89%;36;95%;3;8%;8;0;0;1;0;0;45
Rodrigo;VAL;2695002.695;37;97%;13;34%;31;82%;24;63%;4;0;0;16;1;0;23
Rodrigo Ely;ALA;2692002.692;31;82%;28;74%;30;79%;3;8%;10;1;1;1;0;0;40
Roger;LEV;96200962;17;45%;5;13%;10;26%;12;32%;4;0;0;3;1;0;15
Roger Martínez;VIL;22600226;8;21%;1;3%;2;5%;7;18%;1;0;0;1;0;0;5
Rolón;MGA;42200422;8;21%;1;3%;6;16%;7;18%;1;0;0;0;0;0;12
